f1,f2,f3,target
2.9561204922952813,7.229489260701994,A,1
0.9252088369621733,5.441242534113636,B,0
1.5280465615674248,3.147318046321565,B,0
-1.229230028135961,4.814813112242563,B,2
-2.7158225523033286,3.539230667795329,D,2
8.435395008194776,1.2204433078243313,A,1
1.7272978704943311,0.0481134015754332,A,1
6.675750654819318,5.9074835020410426,E,2
0.41092283215629033,0.7762823636337037,E,0
-6.084651120524746,1.2883540345783757,D,0
2.6371183406661562,4.678586467233195,A,1
-4.373470863803725,1.423514357188586,D,2
0.191333741413793,3.757052976078561,B,0
2.029909846195644,3.7708928364840717,B,2
-0.20483082741749925,10.170260106981345,E,2
-5.220182579517122,4.8335382589160325,E,2
3.3275035595706783,10.007807482992728,D,0
-2.123449994315699,5.52734096192296,D,2
-2.2764943810494813,-1.5846766047529375,B,2
-6.412583464818645,2.693628122318459,E,2
-3.0388441710634133,0.12981097927810925,B,2
4.787127176795284,-5.340794741159652,A,1
1.8380420159468733,4.295159019471387,B,0
-0.6891089579368548,3.7863403761275074,D,0
2.803308328272132,2.543318995147612,A,1
3.177054683234604,10.339380116828075,B,0
2.021506132403462,-0.41480886177138787,B,2
-3.3291437155946935,7.048843718144333,D,2
-2.726251004125757,3.9527829480843613,A,1
-2.0706383284035486,2.7666942478201557,B,1
-0.49930023177849625,2.1642174838452117,A,1
-1.4848258268539403,-0.07150136681746266,D,2
-1.629843755858224,3.0452045717396485,B,2
3.419829546010094,4.48056409499328,D,0
4.052035382296774,0.9085125627900461,A,1
0.11011740759572053,1.4558797403721633,A,1
-2.511767115823022,1.319958153664761,B,2
1.2861503294735281,1.0163980699427642,E,2
-0.19971224571855117,4.929922596726547,E,2
4.082215509463424,0.2712569087652208,B,1
-0.7106354564952735,6.219832673049748,A,1
7.532104774634959,4.7252500549552785,E,2
3.923251029947389,7.41612171764112,D,0
-0.7313081752010271,1.7079468341540547,D,2
-1.937241915926677,8.582737909809472,D,0
2.4661156739980497,7.340186896915319,D,0
-6.708374925947528,4.24826231533423,B,2
5.525610525855617,-0.6388805743952664,A,1
-2.1281157757052713,1.9723447988034577,D,0
4.8682798227086685,8.257144050563495,E,2
1.6277363301923704,-0.09156343434961656,A,1
-0.3242087161696978,0.09618011452353425,A,1
-0.8631575086015295,4.156325227064493,B,2
3.2747800784602763,7.6197429315715475,B,1
5.724161807195395,-0.0962622481505685,A,1
-3.3629931134034905,2.946736500741115,E,0
-4.221633182624438,6.136384781306019,D,2
6.015198233060309,1.8309919118523048,D,1
-0.7888700119661971,5.203041333850614,A,1
4.423566840833321,6.780404892881337,A,1
7.350094176330588,3.440342233722924,A,1
0.30349327579157404,3.3970381360831796,D,0
2.0702768409664674,8.430894823884792,E,2
-2.078567898154059,2.3400769224556384,B,0
2.853583645111245,1.1063402124447257,A,1
1.9176036848990115,1.7517171628955093,A,1
-3.777150610906311,6.837150247262149,B,0
-0.45007436713032334,4.266944984356168,B,2
2.1801045065223454,-0.19671407161978882,A,1
-0.2694241089184761,2.282794813520971,D,0
-0.9249121413790999,7.647131242809,E,2
0.8190449018379882,-1.6288732326654705,E,2
6.88664445632761,2.590295581122389,A,1
-2.822757952342368,4.119303034593732,E,0
2.639426644809742,1.0947053255310601,E,2
8.571543826427368,0.4590429256076962,A,1
3.7765361165640288,-2.0329602630383006,B,1
-2.239148464397284,2.2474274084797745,E,2
0.46328275759054116,1.37682178702789,D,2
-1.848366947400649,5.06793393752974,E,0
-1.1286606468604026,4.699054033862936,,2
2.896500205728083,-0.14906892952632922,E,1
-0.30440154149729404,5.721203328551857,E,2
-0.31989034173561315,-0.8511665235769952,D,1
4.488165994538516,3.2867767867982405,A,1
-0.19121626333632058,3.293948510808412,A,1
2.213086893529705,5.915977568078844,D,0
1.4655957881698978,-0.8272998521644666,A,1
-8.374299696250883,6.2371434276815165,B,0
-0.2696114173806716,4.540429422484706,E,2
1.5544570680456755,6.3931033476227075,D,0
5.801836546392666,2.6190510786387273,B,0
3.699982323459548,1.0241087800692315,D,0
2.7976050942946324,1.1592761069719706,B,0
0.7244593026145791,-1.112406181860449,A,1
-0.4936950181565214,5.838925725836999,D,2
2.619271907334954,0.3248096319153351,E,1
2.5226493136276447,5.457674212440167,A,1
-0.5343571357803403,-2.949846582947189,A,1
-2.301530867159634,2.4540953359858486,D,2
-2.2565383493255005,2.50609932489384,B,2
3.8740784339255985,8.571601574355494,B,0
-4.55192586163064,1.5235273535901364,E,2
3.4251949049571335,5.426394533705928,E,1
4.590943797821987,8.257350642021638,A,1
5.019719622815813,-0.8855326687147409,A,1
3.2551737072135563,-2.6848568705841203,A,1
5.155939352488941,-1.5282798580186912,A,1
4.544157042331123,2.137818722539396,D,1
1.0906240790846962,2.5670329076187666,E,0
2.218789614603725,3.5898748657431083,B,2
4.410915453846401,4.1954161262173235,A,1
2.9966414272673854,-3.0838284615782188,A,1
1.4021295685088342,3.345802076013104,B,0
5.302685183373638,-4.958068824963225,B,1
-3.818363493488465,3.8416498661092904,E,2
4.078027393058949,3.078769010814514,D,2
7.476298031896635,-3.2563347240184513,A,1
-1.5174779372016427,-0.6296892968818293,B,2
0.355346653775503,2.6138592496566466,B,0
2.1841466719366007,-1.0238766724370967,D,0
-0.9266962024963958,3.2155638294869755,B,0
-1.7456250146032315,4.459623514836807,E,0
-1.5038386625342275,-0.7774478012053274,A,1
1.5017503577360114,0.9174192137954688,E,1
-3.1183866226013524,6.820032997778175,D,2
-2.060251223336191,-3.6694037838644755,D,2
2.592668014187695,4.492530815882032,,2
-2.5544959665997338,1.324702796619269,E,2
0.21850247381899068,2.3789263179199662,B,2
5.536254660843813,9.462555249696972,E,0
-3.363334020143668,6.7046811754684725,B,0
-0.4734785488908271,4.31150087474292,D,0
-4.496955621424956,1.4115511261094469,B,2
-0.17836934899733126,4.586842095399612,D,0
3.8765741120458754,5.827991055622823,E,0
-2.4714591127037844,4.514882147041169,E,2
3.0848318502801853,-2.534705579125225,B,1
-0.7824241579390927,4.031487731069011,A,1
0.8584216238640082,0.7995068342247977,E,0
-3.4630686069398653,-4.776365788556477,B,2
-1.9215914979791142,2.1308533697550214,E,0
-6.42279230824149,-3.030390660299423,B,2
-1.2343803100659332,1.5361774596491953,A,1
-0.8995623396228858,3.1473943408114415,B,2
3.5250199795394463,2.6125490841922585,B,2
-1.05955114888883,7.797353860908952,E,2
-1.666917804377913,1.0591419965851183,D,2
0.5219634744213639,2.9489617690396166,A,1
-0.5406395691396386,0.6200792851667377,A,1
1.465277838926096,1.917506756476213,D,2
-0.28863665649789993,3.141702708004989,E,2
2.780729126543812,-1.162564772065926,B,1
0.9060007634821385,7.541371511785858,D,0
1.9615971238156207,0.4968777940272533,B,1
9.017982600853497,3.701361785461393,E,0
1.0884983124352443,-3.508933970122027,A,1
2.7886802998745477,-0.5849634807969251,,0
-2.8351849169107055,7.211977451922424,E,0
1.1819280783461414,-0.3641553986800625,A,1
0.7411595159146604,5.610543581003675,B,2
-1.5692903870705859,3.4347275959949592,E,2
0.24102481181592839,1.967760909475551,B,0
-0.8665229557134619,0.050352173215025164,E,2
-5.2688546700234635,4.284526295402081,D,2
-2.0091773955023746,4.683608853495974,E,2
-0.9053833098656334,5.46679350235546,,2
-2.7119173048549743,5.047688451083723,B,2
-0.1629353172279675,-0.640772588887597,A,1
1.0473597855491414,5.4878311067441405,E,2
-0.23907839322072988,2.5896681884115744,A,1
6.66494418611225,1.4111343503624285,A,1
4.582669330887306,0.8891276580303072,A,1
-4.861117271643615,1.9440528624054907,D,2
2.146425915827525,3.19266959209146,A,1
-2.092295043866147,0.8517113146784494,D,0
-7.244215483612387,3.98370174973883,E,2
-1.4140558403724075,8.947987731584606,E,0
1.0524268917658721,6.134962620364629,D,0
0.5856005791463164,3.735533541013018,E,0
-1.7512618299346538,-0.08020004258972957,E,2
-3.1098732029698164,9.023645506775987,B,2
-1.3876755945855273,1.3266044755164241,A,1
-2.2998912037371024,5.263424130884626,E,2
0.8344369314577537,6.2962194755243415,D,0
-2.981583275599225,3.403359894385216,D,2
3.850648780816462,0.32028505920807815,D,2
2.6606198071998755,0.5249988210492256,E,0
-4.4959685776946055,2.5676617884577833,D,0
-0.3800238021692839,5.126531403906823,B,2
-1.7500196593306643,3.0308344645146854,B,0
-2.1175039396835844,3.191475114607211,B,2
-0.017821050337988087,-0.6242106857102245,A,1
2.320875324237842,1.3288823478430105,B,2
-4.673235568336521,3.426497574496966,D,2
2.6040207112982157,2.9281585321569628,A,1
-0.5430430589653933,3.3681731487567315,E,2
0.7913908722595528,3.9818714985748658,B,0
-2.783506045523187,5.474259681817109,B,2
4.875591127701529,0.4074926245680288,A,1
-1.7819103303374946,0.7467754705918859,B,2
9.451457012394929,-0.8620095024903762,A,1
3.9802631305866836,6.095424840658665,B,0
-4.640462432011775,2.1803068003964596,D,2
0.9312548174524007,3.963552435520188,E,0
1.3720041713912903,4.892802615706804,A,1
-0.22555899299015625,4.303131455976604,A,1
-1.246330034065723,2.478913877203905,E,0
1.7617525227410025,-4.149839785841273,A,1
3.281502578143211,5.732159133463063,A,1
-2.6251577862772733,1.1861067600709618,E,2
-3.5245185235474947,2.761548901931091,E,2
2.4572023411210866,5.764833305389528,E,0
1.006194448100997,-1.114611888855796,D,1
-4.439484987344768,6.794945343469565,D,0
-0.11889159783137915,0.7992596719730818,A,1
-4.475951297701223,-0.8201688162528162,E,2
2.912482736462327,-2.4530457213985035,A,1
6.664816764445927,1.9044289122910776,D,0
1.5654789701448455,-0.48336027936542303,A,1
-0.06796866980075222,0.41169621680739127,A,1
-2.9285462233670865,8.763206496672893,,2
0.7055612018918325,-3.004226242201462,B,1
-1.6612118079587295,3.6104825046694007,,0
3.565321537999769,2.5346939403504156,D,0
1.11467525541355,1.4286638867687058,E,0
8.745189259095653,0.3288083682369509,B,1
6.9584844561925845,2.611343552963604,A,1
-0.11889557109227789,-1.0701953166751608,B,0
3.0089411793096463,8.225338862692162,B,0
-2.900183584752419,2.35739870642041,A,1
-0.6523143495036581,5.551937466232666,E,0
-1.895172340906555,0.2585143700832875,E,0
5.647300203142976,6.955868919727369,B,0
-2.284642562343174,6.636017971467144,E,2
-2.334767661067623,-0.39175287018401583,A,1
3.566605919936532,6.628691164702065,A,1
1.0326454538692684,2.5224549841123878,E,0
3.360220029226566,2.4723742617621998,A,1
0.7522661437930463,5.079936648137628,B,0
0.967375824231527,-1.027343491681167,D,0
0.6792451446942629,1.1518258176859213,B,0
-3.2228515455038154,3.3095799410169056,B,2
2.1359031796600556,-2.3594469498556103,A,1
-0.8655267203462279,-1.4326499367478496,B,2
4.421328773698548,1.309337982707018,A,1
1.3015401798973192,-0.2508409551346964,A,1
5.003331152320355,4.89734725614985,D,0
-2.2621231429994846,1.0481208309970107,D,2
-1.353227041337274,2.41356549421945,D,1
-0.16598196722642067,6.326523369386481,D,2
-1.6473534675708887,2.088619057854648,D,2
5.020386787782107,2.131545626099706,A,1
4.785564329489407,2.174224781010078,D,0
3.0149736758417425,3.032422581799961,B,0
4.565737966763601,2.726598582843629,D,2
0.5698342419164275,2.7294914772406993,A,1
-0.2726145501406907,-5.411429496921059,D,2
-0.606761319460148,3.633374993785118,B,2
2.8347194260948383,3.619004824092511,B,2
0.605321200870403,5.8186972718369105,B,0
-4.1888147250828505,-2.6866642920367054,D,2
1.5455487341242184,6.05403706404782,A,1
-3.7780836464694216,3.9610930980606773,,2
3.8245324993237775,4.566441051603963,E,0
2.931262604364467,1.2423723085911123,D,1
-5.914836801803557,4.212675920317502,B,2
1.6219914814653293,1.284690762412739,B,0
-4.002391611100881,-6.414729713359641,A,1
-0.4679077935964049,8.494983231389618,E,0
0.5799834364760938,6.817279766653885,E,2
5.31089891834003,3.0529842332303634,A,1
1.1282624237477932,0.7615260329978726,B,1
3.5636584417907438,-2.7647629243187395,A,1
3.8802333194109373,1.3373473133966534,A,1
-0.8144725050110013,2.691481277941283,A,1
0.4161973122026652,0.872863139922841,D,0
3.958288243608701,4.109481823701268,A,1
0.18036581139500418,-1.3274735815620993,D,1
4.194178220323114,0.8880837165019599,,0
5.436617500803387,4.432126487099091,D,0
0.10839973908943246,0.7768212049710765,A,1
2.6817818474148547,1.8969361354451595,B,2
0.8355579475777049,6.082518636809612,D,2
-1.1168155780182518,0.4773007970437523,A,1
0.35141476926150605,9.026901039875105,D,0
-0.005883684694736768,0.8509176473238649,A,1
-0.6218382973921686,7.576036530751891,E,0
1.9336252788053423,5.225581668965163,D,0
0.9991225735009693,6.964381387196672,E,0
1.5915299542420565,7.788388738125741,E,0
3.0457245721508603,8.209326016143386,E,0
1.0921617340670593,-0.6663579795174712,B,0
3.3861799621806608,3.4808186451773278,B,1
-1.8391457449792445,2.213309047231254,D,2
-3.0806910835347927,-0.22202215173338002,D,2
2.21854413992728,2.7820839417636223,,0
-2.8315748225003703,6.047201919941132,E,2
0.08512161169048316,-1.1813074162645059,A,1
3.697973156052865,1.728099436272604,A,1
